time,lasttime,lat,lng,speed,course,altitude,Temperature (C),Pressure (Pa),Ascent Rate (M/Sec)
10/1/2021 19:48,10/1/2021 19:48,34.79067,-87.00717,13,351,3026.05,21,71578,0
10/1/2021 19:49,10/1/2021 19:49,34.79283,-87.00717,9,1,3127.86,20,70709,1.69683333333333
10/1/2021 20:00,10/1/2021 20:00,34.809,-87.00517,13,45,4307.13,14,61166,1.78677272727273
10/1/2021 20:02,10/1/2021 20:02,34.81167,-87.00017,19,62,4532.99,13,59449,1.88216666666666
10/1/2021 20:03,10/1/2021 20:03,34.813,-86.99683,17,68,4636.01,12,58680,1.71700000000001
10/1/2021 20:04,10/1/2021 20:04,34.8135,-86.994,15,77,4732.93,12,57968,1.61533333333333
10/1/2021 20:05,10/1/2021 20:05,34.81383,-86.99117,17,91,4821.02,12,57328,1.46816666666667
10/1/2021 20:06,10/1/2021 20:06,34.8135,-86.98917,11,89,4917.95,12,56631,1.61549999999999
10/1/2021 20:07,10/1/2021 20:07,34.813,-86.9875,11,119,5020.97,12,55888,1.71700000000001
10/1/2021 20:08,10/1/2021 20:08,34.81217,-86.98633,7,129,5127.96,11,55134,1.78316666666666
10/1/2021 20:09,10/1/2021 20:09,34.81167,-86.98517,7,130,5239.21,11,54356,1.85416666666667
10/1/2021 20:10,10/1/2021 20:10,34.81083,-86.984,9,125,5349.24,11,53609,1.83383333333333
10/1/2021 20:11,10/1/2021 20:11,34.81,-86.983,6,140,5463.24,10,52839,1.9
10/1/2021 20:12,10/1/2021 20:12,34.8095,-86.98217,6,142,5570.22,10,52115,1.78300000000001
10/1/2021 20:13,10/1/2021 20:13,34.80917,-86.98133,7,133,5680.25,9,51394,1.83383333333333
10/1/2021 20:14,10/1/2021 20:14,34.8085,-86.98017,7,115,5787.24,9,50693,1.78316666666666
10/1/2021 20:15,10/1/2021 20:15,34.80783,-86.97867,11,117,5895.14,8,50001,1.79833333333334
10/1/2021 20:16,10/1/2021 20:16,34.80683,-86.97733,9,122,6010.05,7,49273,1.91516666666666
10/1/2021 20:17,10/1/2021 20:17,34.80617,-86.976,7,114,6121.3,7,48558,1.85416666666667
10/1/2021 20:18,10/1/2021 20:18,34.80567,-86.97467,6,94,6232.25,6,47859,1.84916666666666
10/1/2021 20:19,10/1/2021 20:19,34.8055,-86.97283,11,95,6344.11,5,47173,1.86433333333333
10/1/2021 20:20,10/1/2021 20:20,34.8055,-86.971,6,96,6446.22,5,46550,1.70183333333334
10/1/2021 20:21,10/1/2021 20:21,34.80567,-86.96967,6,72,6553.2,5,45917,1.78299999999999
10/1/2021 20:22,10/1/2021 20:22,34.80567,-86.96817,9,95,6658.05,4,45281,1.74750000000001
10/1/2021 20:23,10/1/2021 20:23,34.8055,-86.96567,15,104,6761.07,4,44682,1.71699999999999
10/1/2021 20:24,10/1/2021 20:24,34.80483,-86.9635,15,127,6865.32,4,44083,1.7375
10/1/2021 20:25,10/1/2021 20:25,34.80333,-86.96067,20,119,6969.25,3,43455,1.73216666666667
10/1/2021 20:26,10/1/2021 20:26,34.80133,-86.9575,15,128,7068.31,3,42911,1.65100000000001
10/1/2021 20:27,10/1/2021 20:27,34.7995,-86.955,17,121,7162.19,2,42371,1.56466666666665
10/1/2021 20:28,10/1/2021 20:28,34.7975,-86.95233,20,129,7253.33,2,41852,1.51900000000001
10/1/2021 20:29,10/1/2021 20:29,34.79583,-86.9495,20,125,7349.34,2,41327,1.60016666666667
10/1/2021 20:30,10/1/2021 20:30,34.79417,-86.94633,22,132,7459.07,1,40726,1.82883333333333
10/1/2021 20:31,10/1/2021 20:31,34.792,-86.9435,20,136,7573.37,0,40106,1.905
10/1/2021 20:33,10/1/2021 20:33,34.78767,-86.9395,20,154,7807.15,0,38881,1.94816666666666
10/1/2021 20:34,10/1/2021 20:34,34.785,-86.93817,22,155,7932.12,0,38220,2.08283333333334
